name,team,player_link,battingStyle,bowlingStyle,playingRole
Ahmed Raza,U.A.E.,https://www.espncricinfo.com/cricketers/ahmed-raza-245490,Right hand Bat,Slow Left arm Orthodox,Bowler
Trent Boult,New Zealand,https://www.espncricinfo.com/cricketers/trent-boult-277912,Right hand Bat,Left arm Fast medium,Bowler
Lockie Ferguson,New Zealand,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,Right hand Bat,Right arm Fast,Bowler
Mark Wood,England,https://www.espncricinfo.com/cricketers/mark-wood-351588,Right hand Bat,Right arm Fast,Bowler
Adil Rashid,England,https://www.espncricinfo.com/cricketers/adil-rashid-244497,Right hand Bat,Legbreak,Bowler
Ashton Agar,Australia,https://www.espncricinfo.com/cricketers/ashton-agar-505120,Left hand Bat,Slow Left arm Orthodox,Bowler
Brandon Glover,Netherlands,https://www.espncricinfo.com/cricketers/brandon-glover-595419,Right hand Bat,Right arm Fast,Bowler
Shoriful Islam,Bangladesh,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,Left hand Bat,Left arm Medium fast,Bowler
Ebadot Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355,Right hand Bat,Right arm Fast medium,Bowler
Chris Jordan,England,https://www.espncricinfo.com/cricketers/chris-jordan-288992,Right hand Bat,Right arm Fast medium,Bowler
